Topic,Count,Name,Representation,Representative_Docs
65,32,65_hujan_bayangan_kabut_diguyur,"['hujan', 'bayangan', 'kabut', 'diguyur', 'awanya', 'gelar', 'ponco', 'kemarin', 'berdoa', 'kolbak']","['kawah berjalan kaki parkir ojek pos dilanjutkan jalan kaki meter cuaca sejuk dingin tiupan angin kencang menambah dingin siapkan ponco sewaktuwaktu turun hujan gerimis hinga hujan deras', 'via cidahu minimal orang regu tertipu mdplnya jalur ekstrim turun bukit musim hujan bahaya karna treknya sungai seru pos pendakian simpang bajuri jam simpang bajuri puncak bayangan jam puncak bayangan puncak jam', 'september via cidahu vegetasinya puncak pohon rawa gelar tenda pemandangan menarik samudra awanya kebanyakan muncak penasaran medantrek pendakianya komplit direkomendasikan mendaki hujan ketemu trek berlumpur']"
66,32,66_nan_hapy_dateng_twa,"['nan', 'hapy', 'dateng', 'twa', 'nagih', '', '', '', '', '']","['nan', 'nan', 'nan']"
67,31,67_sunrise_sunrisenya_terbaik_spot,"['sunrise', 'sunrisenya', 'terbaik', 'spot', 'hunting', 'terbit', 'muncaknya', 'nay', 'terbaiknya', 'djiwa']","['sunrise terbaik garut pemandangan', 'sunrise spot mantap', 'sunrise puncak']"
68,31,68_toilet_kamar_mushola_warung,"['toilet', 'kamar', 'mushola', 'warung', 'clean', 'facility', 'mandi', 'tertata', 'saladah', 'pondok']","['masya alah mata minus menikmati indahnya alam alah swt ciptakan hambanya sbg pengingat dlm beribadah alah swt kamar mandi bersih jajanan beli pos terjangkau banget', 'nice camp ground rest area prior sumit atack great pemandangan complete facility water suply clean toilet prayer rom', 'trek bersahabat pemula warung camp pondok saladah mushola toilet nyaman']"
69,30,69_scenery_nice_beautiful_pemandangan,"['scenery', 'nice', 'beautiful', 'pemandangan', 'bagus', 'scenes', 'landscapenya', 'landscape', 'views', 'panorama']","['scenery beautiful', 'beautiful scenery', 'nice pemandangan scenery']"
70,30,70_cerita_putri_sejarah_penuh,"['cerita', 'putri', 'sejarah', 'penuh', 'nambah', 'via', 'permasalahanya', 'lantas', 'penalaman', 'beut']","['cerita pendakian', 'cerita', 'cerita']"
71,30,71_tempatnya_strategis_keren_education,"['tempatnya', 'strategis', 'keren', 'education', 'lokasiy', 'lempong', 'kesanamantap', 'muncakali', 'yup', 'ngagenin']","['tempatnya keren', 'tempatnya keren', 'tempatnya keren']"
72,29,72_bunga_edelweis_abadi_hamparan,"['bunga', 'edelweis', 'abadi', 'hamparan', 'flower', 'edelweisnya', 'taman', 'garden', 'dipenuhi', 'beautiful']","['hamparan bunga edelweis', 'indah hamparan bunga edelweis', 'pemandanganya indah hamparan bunga edelweis bunga abadi luas']"
73,29,73_surya_kencana_alun_rindu,"['surya', 'kencana', 'alun', 'rindu', 'sunset', 'matahari', 'candu', 'ngangenin', 'nmembuatku', 'sengaknya']","['rindu surya kencana', 'alun alun surya kencana', 'alun alun surya kencana']"
74,29,74_asri_hijau_terjaga_hijauhijau,"['asri', 'hijau', 'terjaga', 'hijauhijau', 'hapyback', 'favoritsuasananya', 'indahsejuk', 'abuchildrens', 'sueugeurbanget', 'lelahya']","['pemandanganya asri', 'tempatnya asri', 'indah asri']"
75,28,75_surya_kencana_sunrise_terbaik,"['surya', 'kencana', 'sunrise', 'terbaik', 'sept', 'inget', 'especialy', 'mountain', 'gedepangrango', 'dataran']","['myth says mountain biger spiritual energy scenery place realy beautiful especialy sunrise get clear sight', 'gunung syahrul sept warungnya akeh surya kencananya dingin banget eh sept salju surya kencana pemandangan puncaknya kawah kawahnya tanjakanya lumayan pemula best', 'beautiful mountain surya kencana']"
76,28,76_cuaca_cerah_mendukung_cuacanya,"['cuaca', 'cerah', 'mendukung', 'cuacanya', 'berembun', 'bisaku', 'cerahanya', 'des', 'mantaphawa', 'gapai']","['keren cuaca bagus', 'mantap cuaca bagus', 'cuaca bagus']"
77,27,77_pagi_kemarin_sore_alhamdulilah,"['pagi', 'kemarin', 'sore', 'alhamdulilah', 'kabut', 'siang', 'mendung', 'menghilangkan', 'cuaca', 'turunya']","['sore pagi kena badai alhamdulilah dikasih puncak', 'alhamdulilah kesempatan kali nanjak keindahan pemandangan samudra awan pagi sore', 'bagus kesana pagi jam pagi turunya siang sehinga panas']"
78,27,78_mati_hutan_letusan_terbakar,"['mati', 'hutan', 'letusan', 'terbakar', 'spot', 'dead', 'nampak', 'sepeda', 'cantigi', 'foto']","['hutan mati gunung keinget nanjak hutan mati lokasi dk tuju pondok saladah seandainya dateng pas kondisi kabut suasana berasa film horor sayang banget sih diujung hutan mati dibikin spot foto kesan alaminya hilang ya hutan mati tuh afdol hehehe', 'hutan mati spot favorit pendaki berfoto hutan luas tumbuhanya mati letusan gunung disebutlah hutan mati', 'iconik gunung spot foto terbaik gunung orang papandayang penasaran eksotisan keunikan hutan mati disana serasa duanya mengmiliki aroma tersensiri hutan mati menjadikanya spot foto preweding nuansa syahdunya disana pemandangan suasananya spesial terlepa maksud pohon mati cocok suasana preweding seni menyambung nyambungkan penganalogianya nilai prewed hutan mati sayan bilang disana aksesnya mudah fasilitas disediakan tirik dilewati pendaki selemah lemahnya orang nyampek hutan mati lecuali badai hujan angin panas panasnya siang mendirikan camp pondok salada jaraknya hutan mati pilihan berfoto hutan mati improve ok foto diambil letingianya diatas seribu meter otomatis kondisi langot hutan mati clear nampak biru dibandibgkan kota polusi debu labgot begroun nampak clear object tajam artistik ditambah susunak bentuk pepohonan mati kayu mati mencoklat warna tanahnya khas hutan mati kawah gunung kondisi hutan mati terkontaminasi belerang nampak berwarna putih rada kuninf kuningan semajin bagus rapat pohonya ujung hutan mati nampak kawah aktif mengeluarkan asap belerang air panas bumi beruntuk foto asap menghumpal layaknya awan kintonya son goku explore disana posisi sunrise bagus hutan mati langsung berhadapan matahari terbit banding sunset terhalan gunung dibelakanya kadan kuning matahari disana hutan mati jalanya kriklil abis musim kemaru berdebu bagus baguskaret sepatu pendaki tetep rawan tergelincir pasir hati hati memijakan kaki memilih bebatuan tumpuhan jalan pondok sala landaibtapi memutar langsung direct pendek lwbih cepat terbiasa berat hutan mati leinginan tracknya jalanya']"
79,27,79_dingin_jaket_sejuk_udara,"['dingin', 'jaket', 'sejuk', 'udara', 'suhu', 'suguhi', 'segar', 'sejuknya', 'kaos', 'sarung']","['kandang badak lezat camp cari bagus spotnya batu cuacanya dingin usahakan bawa tenda proporsional sleping bag tebal jaket hangat lupa sarung tangan kaos kaki tebal', 'kali merasakan kali tidur kedinginan teramat suhu sat mencapai derajat celcius ukur termometer digital suhu terendahnya aliran mata air air minum padang edelwes rindu menikmati segelas kopi ditemani sahabat moment langka berharga', 'bagus majalengka udaranya segar dingin airnya lezat pokoknya kaku maja lengka nenek majalengka suka majalengka lezat tempatnya oke majalengka udaranya segar airnya dingin bay kesanaya engak rugi']"
80,27,80_indonesia_pencinta_tuhan_dipijak,"['indonesia', 'pencinta', 'tuhan', 'dipijak', 'langit', 'alam', 'salah', 'cucu', 'cinta', 'disenangi']","['pendakian gunung salah menikmati alam indonesia', 'wisata gunung indonesia', 'wisata gunung indonesia']"
81,27,81_parkir_parkiran_bayar_parkirnya,"['parkir', 'parkiran', 'bayar', 'parkirnya', 'mobil', 'aman', 'ramah', 'mck', 'luasayang', 'luasdan']","['fasilitasnya apuy lumayan mushala mck parkir motor parkir mobil', 'persiapan berangkat keatas parkiran warung kamar halaman lumayan parkir mobil motor petugas pengelola ramah komunikatif', 'area parkir luas sayang masuk bayar mobil bayar area parkir parkir bayar kocag']"
82,27,82_tempatnya_indah_indomienya_bgtpengen,"['tempatnya', 'indah', 'indomienya', 'bgtpengen', 'nagih', 'kitu', 'sejut', 'nice', 'lezat', 'kenangan']","['indah tempatnya', 'tempatnya indah', 'tempatnya indah']"
83,27,83_rekomendasi_recomended_recomend_expert,"['rekomendasi', 'recomended', 'recomend', 'expert', 'direkomendasikan', 'hobi', 'isnt', 'suced', 'recomeded', 'tried']","['gunung rekomendasi pendaki pemula', 'rekomendasi pemula pendakian gunung', 'gunung rekomendasi pemula']"
84,26,84_indonesia_wonderful_indonesiaku_pesona,"['indonesia', 'wonderful', 'indonesiaku', 'pesona', 'merdeka', 'dusta', 'indonsia', 'apik', 'international', 'cintailah']","['pesona indonesia', 'pesona alam indonesia', 'mantap indonesia']"
85,26,85_barat_jawa_mdpl_tertingi,"['barat', 'jawa', 'mdpl', 'tertingi', 'ketingian', 'batu', 'apuy', 'gunung', 'lingarjati', 'pecinta']","['satunya gunung wilayah jawa barat naiki kesini karna suport temanakhirnya berangkat solo stasiun cirebon ketemu rombongan gombongsetelah sapa kenalan gabung dirombongan inientah naiknya hehe jalur lingarjati laluitreknya aduhai lutut dagu bertemu trek memandang laut keren gunung trek aduhai', 'gunung gunung terletak kabupaten garut jawa barat gunung memiliki ketingian mdpl gunung tertingi kempat jawa barat gunung gunung perbatasan kecamatan bayongbong cikajang dayeuh mangung pastinya pengalaman terbaru mencapai puncak gunung', 'highest mountain west java ketingian mdpl track pendakianya apuy lingarjati track apuy menantang jalur pendakianya memiliki pos dimana pos pos menarik goa walet puncak indah kawah cantik udara puncak dingin rambut berkristal direkomendasi pendakian jawa barat']"
86,25,86_favorit_jabodetabek_terbaik_suka,"['favorit', 'jabodetabek', 'terbaik', 'suka', 'pacu', 'owenmau', 'wkekeke', 'salh', 'jabotabek', 'favorite']","['salah puncak gunung favorit', 'gunung favorit warga jabodetabek', 'gunung favorit pendaki']"
